Feature,Importance,Target,Group,Model,Importance_Normalized,Rank
SMQ020,0.09854929,Has_Diabetes,Non-Hispanic Black,XGBoost,0.0985493,2
SMQ040,0.023747217,Has_Diabetes,Non-Hispanic Black,XGBoost,0.023747219,19
ALQ121,0.0364564,Has_Diabetes,Non-Hispanic Black,XGBoost,0.036456402,7
ALQ130,0.06719762,Has_Diabetes,Non-Hispanic Black,XGBoost,0.06719763,3
LBXGH,0.24132358,Has_Diabetes,Non-Hispanic Black,XGBoost,0.24132359,1
LBXTC,0.036165286,Has_Diabetes,Non-Hispanic Black,XGBoost,0.03616529,8
LBDHDD,0.03501173,Has_Diabetes,Non-Hispanic Black,XGBoost,0.035011735,9
BPXOSY1,0.03742637,Has_Diabetes,Non-Hispanic Black,XGBoost,0.037426375,6
BPXODI1,0.024247402,Has_Diabetes,Non-Hispanic Black,XGBoost,0.024247404,18
RIAGENDR,0.01873413,Has_Diabetes,Non-Hispanic White,XGBoost,0.01873413,22
RIDRETH3,0.0,Has_Diabetes,Non-Hispanic White,XGBoost,0.0,23
INDFMPIR,0.024056427,Has_Diabetes,Non-Hispanic White,XGBoost,0.024056427,17
BMXBMI,0.08654388,Has_Diabetes,Non-Hispanic White,XGBoost,0.08654388,2
PAD680,0.039895475,Has_Diabetes,Non-Hispanic White,XGBoost,0.039895475,5
PAD800,0.02717959,Has_Diabetes,Non-Hispanic White,XGBoost,0.02717959,13
DR1TKCAL,0.029003209,Has_Diabetes,Non-Hispanic White,XGBoost,0.029003209,10
DR1TSODI,0.023833556,Has_Diabetes,Non-Hispanic White,XGBoost,0.023833556,18
DR1TCARB,0.024585363,Has_Diabetes,Non-Hispanic White,XGBoost,0.024585363,16
DR1TTFAT,0.020539362,Has_Diabetes,Non-Hispanic White,XGBoost,0.020539362,21
DR1TSFAT,0.03260621,Has_Diabetes,Non-Hispanic White,XGBoost,0.03260621,7
DR1TSUGR,0.024772687,Has_Diabetes,Non-Hispanic White,XGBoost,0.024772687,15
DR1TFIBE,0.021563953,Has_Diabetes,Non-Hispanic White,XGBoost,0.021563953,20
DR1TPROT,0.028416019,Has_Diabetes,Non-Hispanic White,XGBoost,0.028416019,11
SMQ020,0.049090486,Has_Diabetes,Non-Hispanic White,XGBoost,0.049090486,4
SMQ040,0.022976443,Has_Diabetes,Non-Hispanic White,XGBoost,0.022976443,19
ALQ121,0.027943261,Has_Diabetes,Non-Hispanic White,XGBoost,0.027943261,12
ALQ130,0.027158499,Has_Diabetes,Non-Hispanic White,XGBoost,0.027158499,14
LBXGH,0.32565698,Has_Diabetes,Non-Hispanic White,XGBoost,0.32565698,1
LBXTC,0.050438583,Has_Diabetes,Non-Hispanic White,XGBoost,0.050438583,3
LBDHDD,0.029342357,Has_Diabetes,Non-Hispanic White,XGBoost,0.029342357,9
BPXOSY1,0.03337035,Has_Diabetes,Non-Hispanic White,XGBoost,0.03337035,6
BPXODI1,0.03229319,Has_Diabetes,Non-Hispanic White,XGBoost,0.03229319,8
RIAGENDR,0.014745754,Has_Diabetes,Other Hispanic,XGBoost,0.014745754,20
RIDRETH3,0.0,Has_Diabetes,Other Hispanic,XGBoost,0.0,23
INDFMPIR,0.012933932,Has_Diabetes,Other Hispanic,XGBoost,0.012933932,22
BMXBMI,0.048745155,Has_Diabetes,Other Hispanic,XGBoost,0.048745155,6
PAD680,0.022353752,Has_Diabetes,Other Hispanic,XGBoost,0.022353752,17
PAD800,0.026076999,Has_Diabetes,Other Hispanic,XGBoost,0.026076999,13
DR1TKCAL,0.08186215,Has_Diabetes,Other Hispanic,XGBoost,0.08186215,2
DR1TSODI,0.023507671,Has_Diabetes,Other Hispanic,XGBoost,0.023507671,15
DR1TCARB,0.022965126,Has_Diabetes,Other Hispanic,XGBoost,0.022965126,16
DR1TTFAT,0.02024929,Has_Diabetes,Other Hispanic,XGBoost,0.02024929,18
DR1TSFAT,0.033670302,Has_Diabetes,Other Hispanic,XGBoost,0.033670302,9
DR1TSUGR,0.017925652,Has_Diabetes,Other Hispanic,XGBoost,0.017925652,19
DR1TFIBE,0.028595554,Has_Diabetes,Other Hispanic,XGBoost,0.028595554,12
DR1TPROT,0.034826778,Has_Diabetes,Other Hispanic,XGBoost,0.034826778,8
SMQ020,0.040776744,Has_Diabetes,Other Hispanic,XGBoost,0.040776744,7
SMQ040,0.013021249,Has_Diabetes,Other Hispanic,XGBoost,0.013021249,21
ALQ121,0.057281572,Has_Diabetes,Other Hispanic,XGBoost,0.057281572,4
ALQ130,0.061810005,Has_Diabetes,Other Hispanic,XGBoost,0.061810005,3
LBXGH,0.29958528,Has_Diabetes,Other Hispanic,XGBoost,0.29958528,1
LBXTC,0.052490883,Has_Diabetes,Other Hispanic,XGBoost,0.052490883,5
LBDHDD,0.03024987,Has_Diabetes,Other Hispanic,XGBoost,0.03024987,11
BPXOSY1,0.02570311,Has_Diabetes,Other Hispanic,XGBoost,0.02570311,14
BPXODI1,0.03062318,Has_Diabetes,Other Hispanic,XGBoost,0.03062318,10
RIAGENDR,0.016246988,Has_Diabetes,Other/Multi-racial,XGBoost,0.016246988,18
RIDRETH3,0.0,Has_Diabetes,Other/Multi-racial,XGBoost,0.0,23
INDFMPIR,0.010228283,Has_Diabetes,Other/Multi-racial,XGBoost,0.010228283,21
BMXBMI,0.030780185,Has_Diabetes,Other/Multi-racial,XGBoost,0.030780185,8
PAD680,0.01732467,Has_Diabetes,Other/Multi-racial,XGBoost,0.01732467,16
PAD800,0.029586053,Has_Diabetes,Other/Multi-racial,XGBoost,0.029586053,11
DR1TKCAL,0.022641402,Has_Diabetes,Other/Multi-racial,XGBoost,0.022641402,15
DR1TSODI,0.03835706,Has_Diabetes,Other/Multi-racial,XGBoost,0.03835706,6
DR1TCARB,0.05018508,Has_Diabetes,Other/Multi-racial,XGBoost,0.05018508,4
DR1TTFAT,0.016522165,Has_Diabetes,Other/Multi-racial,XGBoost,0.016522165,17
DR1TSFAT,0.026313506,Has_Diabetes,Other/Multi-racial,XGBoost,0.026313506,14
DR1TSUGR,0.016139878,Has_Diabetes,Other/Multi-racial,XGBoost,0.016139878,19
DR1TFIBE,0.012278671,Has_Diabetes,Other/Multi-racial,XGBoost,0.012278671,20
DR1TPROT,0.06132037,Has_Diabetes,Other/Multi-racial,XGBoost,0.06132037,3
SMQ020,0.034343597,Has_Diabetes,Other/Multi-racial,XGBoost,0.034343597,7
SMQ040,0.0046097827,Has_Diabetes,Other/Multi-racial,XGBoost,0.0046097827,22
ALQ121,0.029549174,Has_Diabetes,Other/Multi-racial,XGBoost,0.029549174,12
ALQ130,0.18156895,Has_Diabetes,Other/Multi-racial,XGBoost,0.18156895,2
LBXGH,0.27444208,Has_Diabetes,Other/Multi-racial,XGBoost,0.27444208,1
LBXTC,0.030700175,Has_Diabetes,Other/Multi-racial,XGBoost,0.030700175,9
LBDHDD,0.029961253,Has_Diabetes,Other/Multi-racial,XGBoost,0.029961253,10
BPXOSY1,0.026960596,Has_Diabetes,Other/Multi-racial,XGBoost,0.026960596,13
BPXODI1,0.039940093,Has_Diabetes,Other/Multi-racial,XGBoost,0.039940093,5
