Feature,Importance,Target,Group,Model,Importance_Normalized,Rank
SMQ020,0.0717897,Has_Hypertension,Non-Hispanic Black,XGBoost,0.0717897,3
SMQ040,0.040915877,Has_Hypertension,Non-Hispanic Black,XGBoost,0.040915877,8
ALQ121,0.040407695,Has_Hypertension,Non-Hispanic Black,XGBoost,0.040407695,9
ALQ130,0.03108815,Has_Hypertension,Non-Hispanic Black,XGBoost,0.03108815,19
LBXGH,0.068620086,Has_Hypertension,Non-Hispanic Black,XGBoost,0.068620086,4
LBXTC,0.031025898,Has_Hypertension,Non-Hispanic Black,XGBoost,0.031025898,20
LBDHDD,0.041135844,Has_Hypertension,Non-Hispanic Black,XGBoost,0.041135844,7
BPXOSY1,0.12381206,Has_Hypertension,Non-Hispanic Black,XGBoost,0.12381206,1
BPXODI1,0.030573117,Has_Hypertension,Non-Hispanic Black,XGBoost,0.030573117,21
RIAGENDR,0.026184015,Has_Hypertension,Non-Hispanic White,XGBoost,0.026184019,20
RIDRETH3,0.0,Has_Hypertension,Non-Hispanic White,XGBoost,0.0,23
INDFMPIR,0.026064722,Has_Hypertension,Non-Hispanic White,XGBoost,0.026064726,21
BMXBMI,0.07194726,Has_Hypertension,Non-Hispanic White,XGBoost,0.07194727,4
PAD680,0.049853686,Has_Hypertension,Non-Hispanic White,XGBoost,0.049853694,6
PAD800,0.050425556,Has_Hypertension,Non-Hispanic White,XGBoost,0.050425563,5
DR1TKCAL,0.027180228,Has_Hypertension,Non-Hispanic White,XGBoost,0.027180232,18
DR1TSODI,0.026801238,Has_Hypertension,Non-Hispanic White,XGBoost,0.026801242,19
DR1TCARB,0.03355384,Has_Hypertension,Non-Hispanic White,XGBoost,0.033553842,9
DR1TTFAT,0.03002345,Has_Hypertension,Non-Hispanic White,XGBoost,0.030023454,15
DR1TSFAT,0.025364013,Has_Hypertension,Non-Hispanic White,XGBoost,0.025364017,22
DR1TSUGR,0.028589582,Has_Hypertension,Non-Hispanic White,XGBoost,0.028589586,16
DR1TFIBE,0.03070957,Has_Hypertension,Non-Hispanic White,XGBoost,0.030709574,13
DR1TPROT,0.027441124,Has_Hypertension,Non-Hispanic White,XGBoost,0.027441127,17
SMQ020,0.16108695,Has_Hypertension,Non-Hispanic White,XGBoost,0.16108696,1
SMQ040,0.03946335,Has_Hypertension,Non-Hispanic White,XGBoost,0.039463352,7
ALQ121,0.032494426,Has_Hypertension,Non-Hispanic White,XGBoost,0.03249443,11
ALQ130,0.030082764,Has_Hypertension,Non-Hispanic White,XGBoost,0.030082768,14
LBXGH,0.10438718,Has_Hypertension,Non-Hispanic White,XGBoost,0.104387194,2
LBXTC,0.034646884,Has_Hypertension,Non-Hispanic White,XGBoost,0.034646887,8
LBDHDD,0.033163402,Has_Hypertension,Non-Hispanic White,XGBoost,0.033163406,10
BPXOSY1,0.079286635,Has_Hypertension,Non-Hispanic White,XGBoost,0.07928664,3
BPXODI1,0.031250086,Has_Hypertension,Non-Hispanic White,XGBoost,0.03125009,12
RIAGENDR,0.021566018,Has_Hypertension,Other Hispanic,XGBoost,0.021566017,21
RIDRETH3,0.0,Has_Hypertension,Other Hispanic,XGBoost,0.0,23
INDFMPIR,0.027156409,Has_Hypertension,Other Hispanic,XGBoost,0.027156405,17
BMXBMI,0.05748055,Has_Hypertension,Other Hispanic,XGBoost,0.057480544,4
PAD680,0.04946551,Has_Hypertension,Other Hispanic,XGBoost,0.049465504,5
PAD800,0.02454131,Has_Hypertension,Other Hispanic,XGBoost,0.024541305,19
DR1TKCAL,0.03923168,Has_Hypertension,Other Hispanic,XGBoost,0.039231677,9
DR1TSODI,0.041785378,Has_Hypertension,Other Hispanic,XGBoost,0.041785374,7
DR1TCARB,0.02456489,Has_Hypertension,Other Hispanic,XGBoost,0.024564886,18
DR1TTFAT,0.041561592,Has_Hypertension,Other Hispanic,XGBoost,0.04156159,8
DR1TSFAT,0.038722824,Has_Hypertension,Other Hispanic,XGBoost,0.03872282,10
DR1TSUGR,0.023759693,Has_Hypertension,Other Hispanic,XGBoost,0.02375969,20
DR1TFIBE,0.028680949,Has_Hypertension,Other Hispanic,XGBoost,0.028680945,16
DR1TPROT,0.043090913,Has_Hypertension,Other Hispanic,XGBoost,0.04309091,6
SMQ020,0.069645286,Has_Hypertension,Other Hispanic,XGBoost,0.06964528,3
SMQ040,0.016725764,Has_Hypertension,Other Hispanic,XGBoost,0.016725762,22
ALQ121,0.03225913,Has_Hypertension,Other Hispanic,XGBoost,0.032259125,12
ALQ130,0.0313569,Has_Hypertension,Other Hispanic,XGBoost,0.031356897,14
LBXGH,0.1982013,Has_Hypertension,Other Hispanic,XGBoost,0.19820127,1
LBXTC,0.029679295,Has_Hypertension,Other Hispanic,XGBoost,0.029679291,15
LBDHDD,0.037513614,Has_Hypertension,Other Hispanic,XGBoost,0.03751361,11
BPXOSY1,0.090796724,Has_Hypertension,Other Hispanic,XGBoost,0.09079672,2
BPXODI1,0.03221436,Has_Hypertension,Other Hispanic,XGBoost,0.032214355,13
RIAGENDR,0.018767621,Has_Hypertension,Other/Multi-racial,XGBoost,0.018767625,21
RIDRETH3,0.0,Has_Hypertension,Other/Multi-racial,XGBoost,0.0,23
INDFMPIR,0.020898746,Has_Hypertension,Other/Multi-racial,XGBoost,0.02089875,20
BMXBMI,0.08118505,Has_Hypertension,Other/Multi-racial,XGBoost,0.081185065,3
PAD680,0.046094265,Has_Hypertension,Other/Multi-racial,XGBoost,0.046094272,7
PAD800,0.033603568,Has_Hypertension,Other/Multi-racial,XGBoost,0.033603575,13
DR1TKCAL,0.027735187,Has_Hypertension,Other/Multi-racial,XGBoost,0.027735192,16
DR1TSODI,0.022799019,Has_Hypertension,Other/Multi-racial,XGBoost,0.022799022,19
DR1TCARB,0.018529864,Has_Hypertension,Other/Multi-racial,XGBoost,0.018529868,22
DR1TTFAT,0.029154764,Has_Hypertension,Other/Multi-racial,XGBoost,0.02915477,15
DR1TSFAT,0.037913993,Has_Hypertension,Other/Multi-racial,XGBoost,0.037914,9
DR1TSUGR,0.036310263,Has_Hypertension,Other/Multi-racial,XGBoost,0.03631027,12
DR1TFIBE,0.02434076,Has_Hypertension,Other/Multi-racial,XGBoost,0.024340764,17
DR1TPROT,0.03635932,Has_Hypertension,Other/Multi-racial,XGBoost,0.03635933,11
SMQ020,0.051024918,Has_Hypertension,Other/Multi-racial,XGBoost,0.051024925,5
SMQ040,0.022836683,Has_Hypertension,Other/Multi-racial,XGBoost,0.022836687,18
ALQ121,0.06426105,Has_Hypertension,Other/Multi-racial,XGBoost,0.064261064,4
ALQ130,0.050063323,Has_Hypertension,Other/Multi-racial,XGBoost,0.05006333,6
LBXGH,0.17768404,Has_Hypertension,Other/Multi-racial,XGBoost,0.17768407,1
LBXTC,0.037893068,Has_Hypertension,Other/Multi-racial,XGBoost,0.037893075,10
LBDHDD,0.032321375,Has_Hypertension,Other/Multi-racial,XGBoost,0.032321382,14
BPXOSY1,0.08960302,Has_Hypertension,Other/Multi-racial,XGBoost,0.08960304,2
BPXODI1,0.040620036,Has_Hypertension,Other/Multi-racial,XGBoost,0.040620044,8
