Target,Group,Model,Samples,ROC_AUC_Mean,ROC_AUC_STD,PR_AvgPrecision
Has_Diabetes,Mexican American,XGBoost,1116,0.8851800984029257,0.036685337212036276,0.5644050989560332
Has_Diabetes,Non-Hispanic Asian,XGBoost,681,0.8703349581302338,0.04699012905591663,0.5008232486435291
Has_Diabetes,Non-Hispanic Black,XGBoost,1597,0.8426488268857547,0.03257938777786982,0.5757572780664535
Has_Diabetes,Non-Hispanic White,XGBoost,6214,0.8818352130243646,0.00951471160148241,0.6148913393837827
Has_Diabetes,Other Hispanic,XGBoost,1373,0.8964570290267503,0.03371007940103038,0.6580947485764553
Has_Diabetes,Other/Multi-racial,XGBoost,948,0.8596006231950144,0.031477116478400624,0.6552375488005419
