Target,Model,Samples,ROC_AUC_Mean,ROC_AUC_STD,PR_AvgPrecision,Age_Included
Has_Diabetes,XGBoost,11929,0.9212777134687595,0.00959526922283428,0.6563007941541991,True
Has_Hypertension,XGBoost,11922,0.8783354694299559,0.006855180068768783,0.6560543592917301,True
Has_Diabetes,XGBoost,11929,0.8865356622719351,0.012440233007344259,0.6229715269176663,False
Has_Hypertension,XGBoost,11922,0.8350693666058504,0.007598352793959544,0.5953804344605688,False
