Target,Race_Label,Feature,Importance,Importance_Normalized,Rank
Has_Hypertension,Non-Hispanic Black,ALQ130,0.014343503575854705,0.014343503575854705,22
Has_Hypertension,Non-Hispanic Black,LBXGH,0.0831339178809041,0.0831339178809041,4
Has_Hypertension,Non-Hispanic Black,LBXTC,0.03525812990339914,0.03525812990339914,9
Has_Hypertension,Non-Hispanic Black,LBDHDD,0.033819474159054716,0.033819474159054716,10
Has_Hypertension,Non-Hispanic Black,BPXOSY1,0.10629709684679431,0.10629709684679431,2
Has_Hypertension,Non-Hispanic Black,BPXODI1,0.05118778460263947,0.05118778460263947,7
Has_Hypertension,Non-Hispanic White,RIAGENDR,0.014417226028515438,0.014417226028515435,20
Has_Hypertension,Non-Hispanic White,INDFMPIR,0.09454287758016332,0.09454287758016329,3
Has_Hypertension,Non-Hispanic White,BMXBMI,0.09161911774899034,0.09161911774899033,4
Has_Hypertension,Non-Hispanic White,PAD680,0.10420238422504413,0.1042023842250441,1
Has_Hypertension,Non-Hispanic White,PAD800,0.07210403663464658,0.07210403663464657,6
Has_Hypertension,Non-Hispanic White,DR1TKCAL,0.024698086527468247,0.02469808652746824,19
Has_Hypertension,Non-Hispanic White,DR1TSODI,0.027646640190992743,0.027646640190992736,15
Has_Hypertension,Non-Hispanic White,DR1TCARB,0.028248311794992497,0.02824831179499249,13
Has_Hypertension,Non-Hispanic White,DR1TTFAT,0.026688859729448917,0.02668885972944891,18
Has_Hypertension,Non-Hispanic White,DR1TSFAT,0.02681723862730098,0.026817238627300972,17
Has_Hypertension,Non-Hispanic White,DR1TSUGR,0.02856111052858272,0.028561110528582713,12
Has_Hypertension,Non-Hispanic White,DR1TFIBE,0.02990782387383513,0.029907823873835122,11
Has_Hypertension,Non-Hispanic White,DR1TPROT,0.0279109925344074,0.027910992534407392,14
Has_Hypertension,Non-Hispanic White,SMQ020,0.045183499835574945,0.04518349983557494,7
Has_Hypertension,Non-Hispanic White,SMQ040,0.009400945109391916,0.009400945109391915,22
Has_Hypertension,Non-Hispanic White,ALQ121,0.027364434643974936,0.02736443464397493,16
Has_Hypertension,Non-Hispanic White,ALQ130,0.012765852532692124,0.01276585253269212,21
Has_Hypertension,Non-Hispanic White,LBXGH,0.08916613582742608,0.08916613582742607,5
Has_Hypertension,Non-Hispanic White,LBXTC,0.04265112018020463,0.04265112018020462,9
Has_Hypertension,Non-Hispanic White,LBDHDD,0.033454079183361234,0.03345407918336123,10
Has_Hypertension,Non-Hispanic White,BPXOSY1,0.09905986924339791,0.09905986924339788,2
Has_Hypertension,Non-Hispanic White,BPXODI1,0.04358935741958786,0.04358935741958785,8
Has_Hypertension,Other Hispanic,RIAGENDR,0.015949385510324154,0.015949385510324158,20
Has_Hypertension,Other Hispanic,INDFMPIR,0.07795619736676586,0.07795619736676587,5
Has_Hypertension,Other Hispanic,BMXBMI,0.09101823467439418,0.0910182346743942,4
Has_Hypertension,Other Hispanic,PAD680,0.12450173646269455,0.12450173646269458,1
Has_Hypertension,Other Hispanic,PAD800,0.05285316235018414,0.052853162350184155,8
Has_Hypertension,Other Hispanic,DR1TKCAL,0.02123214855594378,0.021232148555943783,14
Has_Hypertension,Other Hispanic,DR1TSODI,0.020730566832972773,0.020730566832972776,15
