Race,Target,Feature,Model,Mean_Rank,Std_Rank,Min_Rank,Max_Rank,Top_3_Freq
Non-Hispanic Black,Has_Diabetes,HDL,RF,10.6,0.66332495807108,9,11,0.0
Non-Hispanic Black,Has_Diabetes,Sys_BP,RF,5.3,1.004987562112089,4,7,0.0
Non-Hispanic Black,Has_Diabetes,Dia_BP,RF,8.4,0.7999999999999999,7,10,0.0
Non-Hispanic White,Has_Diabetes,Gender,RF,20.0,0.0,20,20,0.0
Non-Hispanic White,Has_Diabetes,Race,RF,23.0,0.0,23,23,0.0
Non-Hispanic White,Has_Diabetes,Income_Ratio,RF,3.9,0.3,3,4,0.1
Non-Hispanic White,Has_Diabetes,BMI,RF,3.0,0.4472135954999579,2,4,0.9
Non-Hispanic White,Has_Diabetes,Mod_Activity,RF,2.1,0.3,2,3,1.0
Non-Hispanic White,Has_Diabetes,Vig_Activity,RF,5.1,0.3,5,6,0.0
Non-Hispanic White,Has_Diabetes,Calories,RF,18.7,0.45825756949558394,18,19,0.0
Non-Hispanic White,Has_Diabetes,Sodium,RF,14.4,2.1071307505705477,12,17,0.0
Non-Hispanic White,Has_Diabetes,Carbs,RF,14.5,2.202271554554524,11,18,0.0
Non-Hispanic White,Has_Diabetes,Fat,RF,16.2,1.98997487421324,12,19,0.0
Non-Hispanic White,Has_Diabetes,Sat_Fat,RF,14.8,1.7776388834631178,13,18,0.0
Non-Hispanic White,Has_Diabetes,Sugar,RF,11.3,1.676305461424021,10,16,0.0
Non-Hispanic White,Has_Diabetes,Fiber,RF,16.2,1.8330302779823362,13,19,0.0
Non-Hispanic White,Has_Diabetes,Protein,RF,14.4,1.6852299546352716,12,17,0.0
Non-Hispanic White,Has_Diabetes,Ever_Smoked,RF,9.9,0.7,9,11,0.0
Non-Hispanic White,Has_Diabetes,Smoke_Freq,RF,21.2,0.4,21,22,0.0
Non-Hispanic White,Has_Diabetes,Alc_Freq,RF,14.2,2.2715633383201093,11,18,0.0
Non-Hispanic White,Has_Diabetes,Alc_Amt,RF,21.8,0.4,21,22,0.0
Non-Hispanic White,Has_Diabetes,HbA1c,RF,1.0,0.0,1,1,1.0
Non-Hispanic White,Has_Diabetes,Cholesterol,RF,5.9,0.3,5,6,0.0
Non-Hispanic White,Has_Diabetes,HDL,RF,7.0,0.0,7,7,0.0
Non-Hispanic White,Has_Diabetes,Sys_BP,RF,8.0,0.0,8,8,0.0
Non-Hispanic White,Has_Diabetes,Dia_BP,RF,9.4,0.6633249580710799,9,11,0.0
Other Hispanic,Has_Diabetes,Gender,RF,16.7,3.195309061734091,11,20,0.0
Other Hispanic,Has_Diabetes,Race,RF,23.0,0.0,23,23,0.0
Other Hispanic,Has_Diabetes,Income_Ratio,RF,5.3,0.45825756949558405,5,6,0.0
Other Hispanic,Has_Diabetes,BMI,RF,4.5,0.806225774829855,4,6,0.0
Other Hispanic,Has_Diabetes,Mod_Activity,RF,2.0,0.0,2,2,1.0
Other Hispanic,Has_Diabetes,Vig_Activity,RF,7.4,1.1135528725660042,6,9,0.0
Other Hispanic,Has_Diabetes,Calories,RF,14.5,2.8722813232690143,11,19,0.0
Other Hispanic,Has_Diabetes,Sodium,RF,16.1,2.3853720883753127,12,19,0.0
Other Hispanic,Has_Diabetes,Carbs,RF,13.4,2.1071307505705477,11,18,0.0
Other Hispanic,Has_Diabetes,Fat,RF,16.0,2.7202941017470885,12,20,0.0
Other Hispanic,Has_Diabetes,Sat_Fat,RF,13.4,2.3323807579381204,11,18,0.0
Other Hispanic,Has_Diabetes,Sugar,RF,13.3,1.3453624047073711,11,15,0.0
Other Hispanic,Has_Diabetes,Fiber,RF,17.1,2.071231517720798,13,21,0.0
Other Hispanic,Has_Diabetes,Protein,RF,16.5,2.5,12,20,0.0
Other Hispanic,Has_Diabetes,Ever_Smoked,RF,5.4,1.1135528725660042,4,7,0.0
Other Hispanic,Has_Diabetes,Smoke_Freq,RF,21.3,1.4866068747318506,17,22,0.0
Other Hispanic,Has_Diabetes,Alc_Freq,RF,18.5,1.8027756377319946,16,21,0.0
Other Hispanic,Has_Diabetes,Alc_Amt,RF,21.2,0.6,20,22,0.0
Other Hispanic,Has_Diabetes,HbA1c,RF,1.0,0.0,1,1,1.0
Other Hispanic,Has_Diabetes,Cholesterol,RF,8.3,0.9,7,10,0.0
Other Hispanic,Has_Diabetes,HDL,RF,9.9,0.3,9,10,0.0
Other Hispanic,Has_Diabetes,Sys_BP,RF,3.0,0.0,3,3,1.0
Other Hispanic,Has_Diabetes,Dia_BP,RF,8.2,0.6,7,9,0.0
Other/Multi-racial,Has_Diabetes,Gender,RF,18.3,1.9000000000000001,15,20,0.0
Other/Multi-racial,Has_Diabetes,Race,RF,23.0,0.0,23,23,0.0
Other/Multi-racial,Has_Diabetes,Income_Ratio,RF,3.4,0.66332495807108,2,4,0.5
Other/Multi-racial,Has_Diabetes,BMI,RF,3.4,0.66332495807108,2,4,0.5
Other/Multi-racial,Has_Diabetes,Mod_Activity,RF,2.2,0.39999999999999997,2,3,1.0
Other/Multi-racial,Has_Diabetes,Vig_Activity,RF,5.7,0.7810249675906654,5,7,0.0
Other/Multi-racial,Has_Diabetes,Calories,RF,15.6,2.90516780926679,11,20,0.0
Other/Multi-racial,Has_Diabetes,Sodium,RF,13.4,2.2891046284519194,9,17,0.0
Other/Multi-racial,Has_Diabetes,Carbs,RF,13.0,2.756809750418044,8,17,0.0
Other/Multi-racial,Has_Diabetes,Fat,RF,17.6,1.42828568570857,15,20,0.0
Other/Multi-racial,Has_Diabetes,Sat_Fat,RF,16.6,2.33238075793812,13,19,0.0
Other/Multi-racial,Has_Diabetes,Sugar,RF,10.5,1.2041594578792296,9,12,0.0
Other/Multi-racial,Has_Diabetes,Fiber,RF,17.0,1.6733200530681511,15,20,0.0
Other/Multi-racial,Has_Diabetes,Protein,RF,18.0,2.04939015319192,14,21,0.0
Other/Multi-racial,Has_Diabetes,Ever_Smoked,RF,10.6,3.0724582991474434,5,16,0.0
Other/Multi-racial,Has_Diabetes,Smoke_Freq,RF,20.5,1.5,16,21,0.0
Other/Multi-racial,Has_Diabetes,Alc_Freq,RF,11.4,2.764054992217051,7,17,0.0
Other/Multi-racial,Has_Diabetes,Alc_Amt,RF,22.0,0.0,22,22,0.0
