Race,Target,Feature,Model,Mean_Rank,Std_Rank,Min_Rank,Max_Rank,Top_3_Freq
Non-Hispanic Black,Has_Diabetes,Cholesterol,LR,17.7,3.2878564445547194,12,22,0.0
Non-Hispanic Black,Has_Diabetes,HDL,LR,17.3,3.8483762809787714,12,22,0.0
Non-Hispanic Black,Has_Diabetes,Sys_BP,LR,3.5,1.02469507659596,2,6,0.6
Non-Hispanic Black,Has_Diabetes,Dia_BP,LR,4.9,0.8306623862918076,4,6,0.0
Non-Hispanic White,Has_Diabetes,Gender,LR,18.4,2.4166091947189146,14,22,0.0
Non-Hispanic White,Has_Diabetes,Race,LR,23.0,0.0,23,23,0.0
Non-Hispanic White,Has_Diabetes,Income_Ratio,LR,12.0,1.6733200530681511,10,15,0.0
Non-Hispanic White,Has_Diabetes,BMI,LR,5.2,1.16619037896906,4,8,0.0
Non-Hispanic White,Has_Diabetes,Mod_Activity,LR,12.3,2.3685438564654024,10,16,0.0
Non-Hispanic White,Has_Diabetes,Vig_Activity,LR,4.0,2.1908902300206643,2,9,0.5
Non-Hispanic White,Has_Diabetes,Calories,LR,7.7,5.780138406647371,2,21,0.3
Non-Hispanic White,Has_Diabetes,Sodium,LR,19.1,2.981610303175115,14,22,0.0
Non-Hispanic White,Has_Diabetes,Carbs,LR,15.7,4.405678154382138,8,22,0.0
Non-Hispanic White,Has_Diabetes,Fat,LR,15.4,5.219195340279955,8,22,0.0
Non-Hispanic White,Has_Diabetes,Sat_Fat,LR,18.0,1.3416407864998738,17,21,0.0
Non-Hispanic White,Has_Diabetes,Sugar,LR,6.5,1.746424919657298,4,11,0.0
Non-Hispanic White,Has_Diabetes,Fiber,LR,15.7,2.6851443164195103,11,19,0.0
Non-Hispanic White,Has_Diabetes,Protein,LR,15.4,3.0397368307141326,10,20,0.0
Non-Hispanic White,Has_Diabetes,Ever_Smoked,LR,4.6,1.624807680927192,2,7,0.3
Non-Hispanic White,Has_Diabetes,Smoke_Freq,LR,13.9,2.5865034312755126,9,19,0.0
Non-Hispanic White,Has_Diabetes,Alc_Freq,LR,20.5,1.8027756377319946,16,22,0.0
Non-Hispanic White,Has_Diabetes,Alc_Amt,LR,13.1,7.993122043357026,1,20,0.3
Non-Hispanic White,Has_Diabetes,HbA1c,LR,1.3,0.45825756949558405,1,2,1.0
Non-Hispanic White,Has_Diabetes,Cholesterol,LR,4.1,1.972308292331602,2,8,0.6
Non-Hispanic White,Has_Diabetes,HDL,LR,13.1,1.9209372712298547,11,17,0.0
