Target,Race_Label,Feature,Importance,Importance_Normalized,Rank
Has_Diabetes,Non-Hispanic White,DR1TSFAT,0.03827805,0.038278054,6
Has_Diabetes,Non-Hispanic White,DR1TSUGR,0.031118762,0.031118764,10
Has_Diabetes,Non-Hispanic White,DR1TFIBE,0.027889675,0.027889676,17
Has_Diabetes,Non-Hispanic White,DR1TPROT,0.02992301,0.029923012,11
Has_Diabetes,Non-Hispanic White,SMQ020,0.052819982,0.052819986,3
Has_Diabetes,Non-Hispanic White,SMQ040,0.028290637,0.028290639,15
Has_Diabetes,Non-Hispanic White,ALQ121,0.03759465,0.037594654,7
Has_Diabetes,Non-Hispanic White,ALQ130,0.033453368,0.03345337,8
Has_Diabetes,Non-Hispanic White,LBXGH,0.32303134,0.32303137,1
Has_Diabetes,Non-Hispanic White,LBXTC,0.0509655,0.050965503,4
Has_Diabetes,Non-Hispanic White,LBDHDD,0.029670982,0.029670984,12
Has_Diabetes,Other Hispanic,RIAGENDR,0.01590199,0.01590199,19
Has_Diabetes,Other Hispanic,INDFMPIR,0.015057793,0.015057793,20
Has_Diabetes,Other Hispanic,BMXBMI,0.05956737,0.05956737,5
Has_Diabetes,Other Hispanic,PAD680,0.02693529,0.02693529,12
Has_Diabetes,Other Hispanic,PAD800,0.028450066,0.028450066,10
Has_Diabetes,Other Hispanic,DR1TKCAL,0.0684833,0.0684833,4
Has_Diabetes,Other Hispanic,DR1TSODI,0.02450317,0.02450317,13
Has_Diabetes,Other Hispanic,DR1TCARB,0.019556683,0.019556683,17
Has_Diabetes,Other Hispanic,DR1TTFAT,0.023107521,0.023107521,15
Has_Diabetes,Other Hispanic,DR1TSFAT,0.02370221,0.02370221,14
Has_Diabetes,Other Hispanic,DR1TSUGR,0.022356391,0.022356391,16
Has_Diabetes,Other Hispanic,DR1TFIBE,0.029921062,0.029921062,9
Has_Diabetes,Other Hispanic,DR1TPROT,0.031058814,0.031058814,8
Has_Diabetes,Other Hispanic,SMQ020,0.03977494,0.03977494,7
Has_Diabetes,Other Hispanic,SMQ040,0.016516263,0.016516263,18
Has_Diabetes,Other Hispanic,ALQ121,0.06854411,0.06854411,3
Has_Diabetes,Other Hispanic,ALQ130,0.07892443,0.07892443,2
Has_Diabetes,Other Hispanic,LBXGH,0.32590944,0.32590944,1
Has_Diabetes,Other Hispanic,LBXTC,0.05456147,0.05456147,6
Has_Diabetes,Other Hispanic,LBDHDD,0.02716768,0.02716768,11
Has_Diabetes,Other/Multi-racial,RIAGENDR,0.016747635,0.016747637,18
Has_Diabetes,Other/Multi-racial,INDFMPIR,0.011228512,0.011228513,19
Has_Diabetes,Other/Multi-racial,BMXBMI,0.044831987,0.04483199,6
Has_Diabetes,Other/Multi-racial,PAD680,0.020524835,0.020524837,14
Has_Diabetes,Other/Multi-racial,PAD800,0.032265548,0.03226555,10
Has_Diabetes,Other/Multi-racial,DR1TKCAL,0.02798839,0.027988391,13
Has_Diabetes,Other/Multi-racial,DR1TSODI,0.038492203,0.038492206,8
Has_Diabetes,Other/Multi-racial,DR1TCARB,0.061941408,0.06194141,3
