Target,Group,Model,Samples,ROC_AUC_Mean,ROC_AUC_STD,PR_AvgPrecision
Has_Hypertension,Mexican American,XGBoost,1117,0.8201052574171029,0.029264670973569103,0.4070155342439004
Has_Hypertension,Non-Hispanic Asian,XGBoost,680,0.8138846415222561,0.037588006984978294,0.5596941444282055
Has_Hypertension,Non-Hispanic Black,XGBoost,1596,0.8161508643542529,0.008663500111921824,0.6120211801267585
Has_Hypertension,Non-Hispanic White,XGBoost,6210,0.8008204401655048,0.009908724477175173,0.5912154964576938
Has_Hypertension,Other Hispanic,XGBoost,1373,0.8419903981502206,0.02506734038025469,0.5321443356398793
Has_Hypertension,Other/Multi-racial,XGBoost,946,0.8210460063354434,0.0288407291835273,0.4884120558228656
