Race,Target,Feature,LR_Mean_Rank,LR_Std_Rank,RF_Mean_Rank,RF_Std_Rank,Rank_Diff,LR_Top_3_Freq,RF_Top_3_Freq
Non-Hispanic Asian,Has_Diabetes,HDL,16.9,4.3920382511995495,10.1,0.7000000000000001,6.799999999999999,0.0,0.0
Non-Hispanic Asian,Has_Diabetes,Fiber,4.4,1.0198039027185568,10.8,1.16619037896906,6.4,0.1,0.0
Non-Hispanic Asian,Has_Diabetes,Gender,18.4,3.8781438859330635,12.0,1.3416407864998738,6.399999999999999,0.0,0.0
Non-Hispanic Asian,Has_Diabetes,Alc_Amt,15.6,1.42828568570857,21.7,0.45825756949558394,6.1,0.0,0.0
Non-Hispanic Asian,Has_Diabetes,Fat,11.9,2.947880594596735,16.8,1.4696938456699067,4.9,0.0,0.0
Non-Hispanic Asian,Has_Diabetes,Sat_Fat,12.7,4.94064773081425,17.2,2.4,4.5,0.0,0.0
Non-Hispanic Asian,Has_Diabetes,Dia_BP,4.0,1.2649110640673518,8.2,0.8717797887081348,4.199999999999999,0.5,0.0
Non-Hispanic Asian,Has_Diabetes,Sodium,17.8,2.6381811916545836,14.6,2.009975124224178,3.200000000000001,0.0,0.0
Non-Hispanic Asian,Has_Diabetes,Protein,16.2,4.915282290977803,14.9,1.9209372712298547,1.299999999999999,0.0,0.0
Non-Hispanic Asian,Has_Diabetes,Sugar,16.7,3.6891733491393435,15.6,2.4166091947189146,1.0999999999999996,0.0,0.0
Non-Hispanic Asian,Has_Diabetes,Ever_Smoked,10.0,4.8373546489791295,9.0,1.8973665961010275,1.0,0.0,0.0
Non-Hispanic Asian,Has_Diabetes,Alc_Freq,18.9,2.808914381037628,18.0,2.6076809620810595,0.8999999999999986,0.0,0.0
Non-Hispanic Asian,Has_Diabetes,BMI,5.2,1.1661903789690602,4.4,0.66332495807108,0.7999999999999998,0.1,0.1
Non-Hispanic Asian,Has_Diabetes,Cholesterol,7.9,2.211334438749598,7.4,1.0198039027185568,0.5,0.0,0.0
Non-Hispanic Asian,Has_Diabetes,Sys_BP,2.0,0.7745966692414834,2.5,0.5,0.5,0.9,1.0
Non-Hispanic Asian,Has_Diabetes,HbA1c,1.2,0.4,1.0,0.0,0.19999999999999996,1.0,1.0
Non-Hispanic Asian,Has_Diabetes,Carbs,16.8,3.8157568056677826,16.9,2.2561028345356955,0.09999999999999787,0.0,0.0
Non-Hispanic Asian,Has_Diabetes,Race,23.0,0.0,23.0,0.0,0.0,0.0,0.0
Non-Hispanic Asian,Has_Hypertension,Calories,3.1,1.3747727084867523,14.4,2.4576411454889016,11.3,0.7,0.0
Non-Hispanic Asian,Has_Hypertension,HDL,19.6,2.244994432064365,9.3,0.45825756949558394,10.3,0.0,0.0
Non-Hispanic Asian,Has_Hypertension,Alc_Amt,11.4,4.2708313008125245,21.6,0.4898979485566356,10.200000000000001,0.0,0.0
Non-Hispanic Asian,Has_Hypertension,Income_Ratio,15.3,4.6701177715342475,5.6,0.4898979485566356,9.700000000000001,0.0,0.0
Non-Hispanic Asian,Has_Hypertension,Mod_Activity,11.8,4.331281565541543,2.1,0.3,9.700000000000001,0.1,1.0
Non-Hispanic Asian,Has_Hypertension,Ever_Smoked,18.9,3.477067730142742,9.7,0.45825756949558394,9.2,0.0,0.0
Non-Hispanic Asian,Has_Hypertension,Carbs,3.9,0.8306623862918074,12.7,1.3453624047073711,8.799999999999999,0.4,0.0
