Target,Race_Label,Feature,Importance,Importance_Normalized,Rank
Has_Hypertension,Non-Hispanic White,DR1TSFAT,0.030734662,0.030734664,18
Has_Hypertension,Non-Hispanic White,DR1TSUGR,0.037737325,0.03773733,10
Has_Hypertension,Non-Hispanic White,DR1TFIBE,0.037092805,0.03709281,11
Has_Hypertension,Non-Hispanic White,DR1TPROT,0.030957637,0.03095764,17
Has_Hypertension,Non-Hispanic White,SMQ020,0.17538749,0.1753875,1
Has_Hypertension,Non-Hispanic White,SMQ040,0.040324803,0.040324807,8
Has_Hypertension,Non-Hispanic White,ALQ121,0.04042106,0.040421065,7
Has_Hypertension,Non-Hispanic White,ALQ130,0.040924106,0.04092411,6
Has_Hypertension,Non-Hispanic White,LBXGH,0.11786945,0.11786946,2
Has_Hypertension,Non-Hispanic White,LBXTC,0.038360175,0.03836018,9
Has_Hypertension,Non-Hispanic White,LBDHDD,0.03700131,0.037001316,12
Has_Hypertension,Other Hispanic,RIAGENDR,0.020476608,0.020476608,20
Has_Hypertension,Other Hispanic,INDFMPIR,0.033024874,0.033024874,16
Has_Hypertension,Other Hispanic,BMXBMI,0.06213963,0.06213963,3
Has_Hypertension,Other Hispanic,PAD680,0.057271816,0.057271816,4
Has_Hypertension,Other Hispanic,PAD800,0.032916106,0.032916106,17
Has_Hypertension,Other Hispanic,DR1TKCAL,0.029260613,0.029260613,18
Has_Hypertension,Other Hispanic,DR1TSODI,0.047697842,0.047697842,8
Has_Hypertension,Other Hispanic,DR1TCARB,0.03741845,0.03741845,12
Has_Hypertension,Other Hispanic,DR1TTFAT,0.045390002,0.045390002,10
Has_Hypertension,Other Hispanic,DR1TSFAT,0.0454748,0.0454748,9
Has_Hypertension,Other Hispanic,DR1TSUGR,0.039549235,0.039549235,11
Has_Hypertension,Other Hispanic,DR1TFIBE,0.03552863,0.03552863,14
Has_Hypertension,Other Hispanic,DR1TPROT,0.05150082,0.05150082,7
Has_Hypertension,Other Hispanic,SMQ020,0.05307347,0.05307347,5
Has_Hypertension,Other Hispanic,SMQ040,0.025698233,0.025698233,19
Has_Hypertension,Other Hispanic,ALQ121,0.07707505,0.07707505,2
Has_Hypertension,Other Hispanic,ALQ130,0.052228585,0.052228585,6
Has_Hypertension,Other Hispanic,LBXGH,0.18224251,0.18224251,1
Has_Hypertension,Other Hispanic,LBXTC,0.03679616,0.03679616,13
Has_Hypertension,Other Hispanic,LBDHDD,0.03523653,0.03523653,15
Has_Hypertension,Other/Multi-racial,RIAGENDR,0.02106915,0.02106915,20
Has_Hypertension,Other/Multi-racial,INDFMPIR,0.025311586,0.025311586,19
Has_Hypertension,Other/Multi-racial,BMXBMI,0.08562758,0.08562758,2
Has_Hypertension,Other/Multi-racial,PAD680,0.05300155,0.05300155,7
Has_Hypertension,Other/Multi-racial,PAD800,0.03553436,0.03553436,13
Has_Hypertension,Other/Multi-racial,DR1TKCAL,0.03816947,0.03816947,10
Has_Hypertension,Other/Multi-racial,DR1TSODI,0.026304152,0.026304152,18
Has_Hypertension,Other/Multi-racial,DR1TCARB,0.032282673,0.032282673,15
Has_Hypertension,Other/Multi-racial,DR1TTFAT,0.03666064,0.03666064,11
Has_Hypertension,Other/Multi-racial,DR1TSFAT,0.067698196,0.067698196,4
Has_Hypertension,Other/Multi-racial,DR1TSUGR,0.043925226,0.043925226,8
Has_Hypertension,Other/Multi-racial,DR1TFIBE,0.028878067,0.028878067,16
Has_Hypertension,Other/Multi-racial,DR1TPROT,0.036200874,0.036200874,12
Has_Hypertension,Other/Multi-racial,SMQ020,0.06170461,0.06170461,6
Has_Hypertension,Other/Multi-racial,SMQ040,0.026793415,0.026793415,17
Has_Hypertension,Other/Multi-racial,ALQ121,0.07502065,0.07502065,3
Has_Hypertension,Other/Multi-racial,ALQ130,0.062527806,0.062527806,5
Has_Hypertension,Other/Multi-racial,LBXGH,0.16915455,0.16915455,1
Has_Hypertension,Other/Multi-racial,LBXTC,0.03455486,0.03455486,14
Has_Hypertension,Other/Multi-racial,LBDHDD,0.039580636,0.039580636,9
