Target,Race_Label,Feature,Importance,Importance_Normalized,Rank
Has_Diabetes,Non-Hispanic Black,ALQ130,0.0100682088606773,0.0100682088606773,22
Has_Diabetes,Non-Hispanic Black,LBXGH,0.226487753865565,0.226487753865565,1
Has_Diabetes,Non-Hispanic Black,LBXTC,0.0351879139126447,0.0351879139126447,8
Has_Diabetes,Non-Hispanic Black,LBDHDD,0.0285883963206698,0.0285883963206698,11
Has_Diabetes,Non-Hispanic Black,BPXOSY1,0.0594322522397177,0.0594322522397177,6
Has_Diabetes,Non-Hispanic Black,BPXODI1,0.034858280707066,0.034858280707066,9
Has_Diabetes,Non-Hispanic White,RIAGENDR,0.0125961883909876,0.0125961883909876,20
Has_Diabetes,Non-Hispanic White,INDFMPIR,0.0821936270879034,0.0821936270879034,4
Has_Diabetes,Non-Hispanic White,BMXBMI,0.0870035048979071,0.0870035048979071,3
Has_Diabetes,Non-Hispanic White,PAD680,0.0939793758661618,0.0939793758661618,2
Has_Diabetes,Non-Hispanic White,PAD800,0.0565876340632906,0.0565876340632906,5
Has_Diabetes,Non-Hispanic White,DR1TKCAL,0.0172333493787256,0.0172333493787256,19
Has_Diabetes,Non-Hispanic White,DR1TSODI,0.0195510051161778,0.0195510051161778,13
Has_Diabetes,Non-Hispanic White,DR1TCARB,0.0196326283545138,0.0196326283545138,12
Has_Diabetes,Non-Hispanic White,DR1TTFAT,0.0182022899065312,0.0182022899065312,17
Has_Diabetes,Non-Hispanic White,DR1TSFAT,0.0195475594755789,0.0195475594755789,14
Has_Diabetes,Non-Hispanic White,DR1TSUGR,0.0219633656568775,0.0219633656568775,11
Has_Diabetes,Non-Hispanic White,DR1TFIBE,0.0181124870389696,0.0181124870389696,18
Has_Diabetes,Non-Hispanic White,DR1TPROT,0.0191992986175742,0.0191992986175742,16
Has_Diabetes,Non-Hispanic White,SMQ020,0.0275456693316324,0.0275456693316324,9
Has_Diabetes,Non-Hispanic White,SMQ040,0.0092985292708784,0.0092985292708784,21
Has_Diabetes,Non-Hispanic White,ALQ121,0.0193278528906348,0.0193278528906348,15
Has_Diabetes,Non-Hispanic White,ALQ130,0.0076361007788264,0.0076361007788264,22
Has_Diabetes,Non-Hispanic White,LBXGH,0.2966216393776604,0.2966216393776604,1
Has_Diabetes,Non-Hispanic White,LBXTC,0.0524192387657036,0.0524192387657036,6
Has_Diabetes,Non-Hispanic White,LBDHDD,0.0412791493545904,0.0412791493545904,7
Has_Diabetes,Non-Hispanic White,BPXOSY1,0.032579731915648,0.032579731915648,8
Has_Diabetes,Non-Hispanic White,BPXODI1,0.0274897744632256,0.0274897744632256,10
Has_Diabetes,Other Hispanic,RIAGENDR,0.0157980082913408,0.0157980082913408,18
Has_Diabetes,Other Hispanic,INDFMPIR,0.0533563745947505,0.0533563745947505,6
Has_Diabetes,Other Hispanic,BMXBMI,0.0676600560265366,0.0676600560265366,4
Has_Diabetes,Other Hispanic,PAD680,0.1099297663000089,0.1099297663000089,2
Has_Diabetes,Other Hispanic,PAD800,0.0473287754059411,0.0473287754059411,7
Has_Diabetes,Other Hispanic,DR1TKCAL,0.0176026280955768,0.0176026280955768,14
Has_Diabetes,Other Hispanic,DR1TSODI,0.0146185881881717,0.0146185881881717,19
Has_Diabetes,Other Hispanic,DR1TCARB,0.0201600467342003,0.0201600467342003,11
Has_Diabetes,Other Hispanic,DR1TTFAT,0.0161271952298265,0.0161271952298265,17
Has_Diabetes,Other Hispanic,DR1TSFAT,0.0179067905598125,0.0179067905598125,13
Has_Diabetes,Other Hispanic,DR1TSUGR,0.0194650402419492,0.0194650402419492,12
Has_Diabetes,Other Hispanic,DR1TFIBE,0.0166269240326753,0.0166269240326753,16
Has_Diabetes,Other Hispanic,DR1TPROT,0.017405529751809,0.017405529751809,15
Has_Diabetes,Other Hispanic,SMQ020,0.0549481008740279,0.0549481008740279,5
Has_Diabetes,Other Hispanic,SMQ040,0.0101592777928326,0.0101592777928326,21
Has_Diabetes,Other Hispanic,ALQ121,0.0135384408441813,0.0135384408441813,20
Has_Diabetes,Other Hispanic,ALQ130,0.0092853416334414,0.0092853416334414,22
Has_Diabetes,Other Hispanic,LBXGH,0.2815013956395163,0.2815013956395163,1
Has_Diabetes,Other Hispanic,LBXTC,0.0366375877197659,0.0366375877197659,9
Has_Diabetes,Other Hispanic,LBDHDD,0.0285140208506817,0.0285140208506817,10
Has_Diabetes,Other Hispanic,BPXOSY1,0.0928438799471852,0.0928438799471852,3
Has_Diabetes,Other Hispanic,BPXODI1,0.0385862312457677,0.0385862312457677,8
Has_Diabetes,Other/Multi-racial,RIAGENDR,0.0169590326988866,0.0169590326988866,19
Has_Diabetes,Other/Multi-racial,INDFMPIR,0.0763965905711237,0.0763965905711237,4
Has_Diabetes,Other/Multi-racial,BMXBMI,0.0775621414334917,0.0775621414334917,3
Has_Diabetes,Other/Multi-racial,PAD680,0.0999817108665852,0.0999817108665852,2
Has_Diabetes,Other/Multi-racial,PAD800,0.0510758634571842,0.0510758634571842,5
Has_Diabetes,Other/Multi-racial,DR1TKCAL,0.0174952466969999,0.0174952466969999,17
