Target,Samples,ROC_AUC_Mean,ROC_AUC_STD,PR_AvgPrecision,Age_Included
Has_Diabetes,11929,0.8958948314631586,0.0071467283774466666,0.6122532415867222,False
Has_Hypertension,11922,0.8344588138121267,0.005586367540318792,0.5543980248057786,False
