Target,Race_Label,Samples,ROC_AUC_Mean,ROC_AUC_STD,PR_AvgPrecision
Has_Hypertension,Mexican American,1117,0.8412302812772687,0.027627729072911056,0.40351984409193864
Has_Hypertension,Non-Hispanic Asian,680,0.8422925464783264,0.02669697976004614,0.533794752427134
Has_Hypertension,Non-Hispanic Black,1596,0.8414201407847679,0.010619447546464062,0.6313578386758961
Has_Hypertension,Non-Hispanic White,6210,0.8060985622977477,0.013677381502321211,0.5480965602803246
Has_Hypertension,Other Hispanic,1373,0.8636954165810993,0.026945502584293454,0.5500318210884704
Has_Hypertension,Other/Multi-racial,946,0.8483258090234205,0.029193469785379896,0.4989898828284661
