Target,Race_Label,Samples,ROC_AUC_CV_Mean,ROC_AUC_CV_STD,ROC_AUC_Plot,PR_AUC_Plot
Has_Diabetes,Mexican American,1116,0.868187439155945,0.027164915347193626,0.8659735759150964,0.5455116607870862
Has_Diabetes,Non-Hispanic Asian,681,0.8639432570928633,0.05414095688244054,0.8651188323430639,0.52932051954175
Has_Diabetes,Non-Hispanic Black,1597,0.8337206902813061,0.03983732413999802,0.8316266114557656,0.5581164638522879
Has_Diabetes,Non-Hispanic White,6214,0.8753233312948934,0.008465121964030846,0.874221248012862,0.6027638999084108
Has_Diabetes,Other Hispanic,1373,0.8990052900887824,0.031099117792080456,0.8978260869565218,0.6048247915565965
Has_Diabetes,Other/Multi-racial,948,0.8554928560571516,0.037131841751965454,0.8506804968287527,0.6604721029755093
