Race,Target,Feature,Mean_Rank,Std_Rank,Min_Rank,Max_Rank,Top_3_Freq
Non-Hispanic Asian,Has_Diabetes,Cholesterol,7.9,2.211334438749598,5,13,0.0
Non-Hispanic Asian,Has_Diabetes,Ever_Smoked,10.0,4.8373546489791295,5,22,0.0
Non-Hispanic Asian,Has_Diabetes,Sedentary_Behavior,11.3,3.7696153649941526,9,22,0.0
Non-Hispanic Asian,Has_Diabetes,Smoke_Freq,11.7,2.5317977802344327,6,16,0.0
Non-Hispanic Asian,Has_Diabetes,Fat,11.9,2.947880594596735,6,18,0.0
Non-Hispanic Asian,Has_Diabetes,Income_Ratio,12.0,4.538722287164087,7,21,0.0
Non-Hispanic Asian,Has_Diabetes,Sat_Fat,12.7,4.94064773081425,7,21,0.0
Non-Hispanic Asian,Has_Diabetes,Sedentary_Behavior,13.8,1.7204650534085253,10,16,0.0
Non-Hispanic Asian,Has_Diabetes,Alc_Amt,15.6,1.42828568570857,12,17,0.0
Non-Hispanic Asian,Has_Diabetes,Protein,16.2,4.915282290977803,7,22,0.0
Non-Hispanic Asian,Has_Diabetes,Sugar,16.7,3.689173349139344,8,21,0.0
Non-Hispanic Asian,Has_Diabetes,Carbs,16.8,3.815756805667783,10,22,0.0
Non-Hispanic Asian,Has_Diabetes,HDL,16.9,4.3920382511995495,9,22,0.0
Non-Hispanic Asian,Has_Diabetes,Sodium,17.8,2.638181191654584,14,21,0.0
Non-Hispanic Asian,Has_Diabetes,Gender,18.4,3.878143885933064,8,22,0.0
Non-Hispanic Asian,Has_Diabetes,Alc_Freq,18.9,2.808914381037628,12,22,0.0
Non-Hispanic Asian,Has_Diabetes,Race,23.0,0.0,23,23,0.0
Non-Hispanic Asian,Has_Hypertension,Sys_BP,1.0,0.0,1,1,1.0
Non-Hispanic Asian,Has_Hypertension,BMI,2.8,0.7483314773547882,2,4,0.8
Non-Hispanic Asian,Has_Hypertension,Calories,3.1,1.3747727084867525,2,6,0.7
Non-Hispanic Asian,Has_Hypertension,Carbs,3.9,0.8306623862918074,3,5,0.4
Non-Hispanic Asian,Has_Hypertension,HbA1c,5.4,0.916515138991168,4,7,0.0
Non-Hispanic Asian,Has_Hypertension,Sat_Fat,9.1,4.3920382511995495,4,16,0.0
Non-Hispanic Asian,Has_Hypertension,Sedentary_Behavior,9.7,3.163858403911276,7,18,0.0
Non-Hispanic Asian,Has_Hypertension,Sodium,11.3,3.689173349139344,6,19,0.0
Non-Hispanic Asian,Has_Hypertension,Alc_Amt,11.4,4.2708313008125245,7,22,0.0
Non-Hispanic Asian,Has_Hypertension,Sedentary_Behavior,11.8,4.331281565541543,2,17,0.1
Non-Hispanic Asian,Has_Hypertension,Sugar,11.9,4.867237409455183,4,21,0.0
