Race,Target,Feature,Readable_Feature,Coefficient,Abs_Coefficient,ROC_AUC,PR_AUC,N_Samples,Rank
Mexican American,Has_Diabetes,RIAGENDR,Gender,0.7248293471167606,0.7248293471167606,0.900817630495993,0.6069518302589391,1116,3.0
Mexican American,Has_Diabetes,INDFMPIR,Income_Ratio,0.08644051194000318,0.08644051194000318,0.900817630495993,0.6069518302589391,1116,20.0
Mexican American,Has_Diabetes,BMXBMI,BMI,0.3470946663766642,0.3470946663766642,0.900817630495993,0.6069518302589391,1116,11.0
Mexican American,Has_Diabetes,PAD680,Mod_Activity,0.1264319388913881,0.1264319388913881,0.900817630495993,0.6069518302589391,1116,18.0
Mexican American,Has_Diabetes,PAD800,Vig_Activity,-0.2993081434893551,0.2993081434893551,0.900817630495993,0.6069518302589391,1116,13.0
Mexican American,Has_Diabetes,DR1TKCAL,Calories,0.3166227350106327,0.3166227350106327,0.900817630495993,0.6069518302589391,1116,12.0
Mexican American,Has_Diabetes,DR1TSODI,Sodium,-0.41243353638868535,0.41243353638868535,0.900817630495993,0.6069518302589391,1116,9.0
Mexican American,Has_Diabetes,DR1TCARB,Carbs,-0.09736427841969669,0.09736427841969669,0.900817630495993,0.6069518302589391,1116,19.0
Mexican American,Has_Diabetes,DR1TTFAT,Fat,0.8551747416533604,0.8551747416533604,0.900817630495993,0.6069518302589391,1116,2.0
Mexican American,Has_Diabetes,DR1TSFAT,Sat_Fat,-0.6801622442339889,0.6801622442339889,0.900817630495993,0.6069518302589391,1116,5.0
Mexican American,Has_Diabetes,DR1TSUGR,Sugar,-0.40632911840275654,0.40632911840275654,0.900817630495993,0.6069518302589391,1116,10.0
Mexican American,Has_Diabetes,DR1TFIBE,Fiber,-0.24483964446895126,0.24483964446895126,0.900817630495993,0.6069518302589391,1116,15.0
Mexican American,Has_Diabetes,DR1TPROT,Protein,-0.0561386400179287,0.0561386400179287,0.900817630495993,0.6069518302589391,1116,22.0
Mexican American,Has_Diabetes,SMQ020,Ever_Smoked,-0.6935015164076458,0.6935015164076458,0.900817630495993,0.6069518302589391,1116,4.0
Mexican American,Has_Diabetes,SMQ040,Smoke_Freq,0.06106090270026951,0.06106090270026951,0.900817630495993,0.6069518302589391,1116,21.0
Mexican American,Has_Diabetes,ALQ121,Alc_Freq,-0.1771450354701213,0.1771450354701213,0.900817630495993,0.6069518302589391,1116,17.0
Mexican American,Has_Diabetes,ALQ130,Alc_Amt,-0.21619050850649102,0.21619050850649102,0.900817630495993,0.6069518302589391,1116,16.0
Mexican American,Has_Diabetes,LBXGH,HbA1c,1.3194385999455513,1.3194385999455513,0.900817630495993,0.6069518302589391,1116,1.0
Mexican American,Has_Diabetes,LBXTC,Cholesterol,-0.5694140887182535,0.5694140887182535,0.900817630495993,0.6069518302589391,1116,7.0
Mexican American,Has_Diabetes,LBDHDD,HDL,-0.28221150584573385,0.28221150584573385,0.900817630495993,0.6069518302589391,1116,14.0
Mexican American,Has_Diabetes,BPXOSY1,Sys_BP,0.6473404282821758,0.6473404282821758,0.900817630495993,0.6069518302589391,1116,6.0
Mexican American,Has_Diabetes,BPXODI1,Dia_BP,-0.5137399780864593,0.5137399780864593,0.900817630495993,0.6069518302589391,1116,8.0
Non-Hispanic Asian,Has_Diabetes,RIAGENDR,Gender,0.015392564521582075,0.015392564521582075,0.8319232756393697,0.4850168055492044,681,21.0
Non-Hispanic Asian,Has_Diabetes,INDFMPIR,Income_Ratio,-0.18424755007833926,0.18424755007833926,0.8319232756393697,0.4850168055492044,681,14.0
Non-Hispanic Asian,Has_Diabetes,BMXBMI,BMI,0.5804014017311109,0.5804014017311109,0.8319232756393697,0.4850168055492044,681,5.0
Non-Hispanic Asian,Has_Diabetes,PAD680,Mod_Activity,-0.18493254038767168,0.18493254038767168,0.8319232756393697,0.4850168055492044,681,13.0
Non-Hispanic Asian,Has_Diabetes,PAD800,Vig_Activity,0.013199113637472882,0.013199113637472882,0.8319232756393697,0.4850168055492044,681,22.0
Non-Hispanic Asian,Has_Diabetes,DR1TKCAL,Calories,0.5232812263352722,0.5232812263352722,0.8319232756393697,0.4850168055492044,681,6.0
Non-Hispanic Asian,Has_Diabetes,DR1TSODI,Sodium,0.15501959137612195,0.15501959137612195,0.8319232756393697,0.4850168055492044,681,15.0
Non-Hispanic Asian,Has_Diabetes,DR1TCARB,Carbs,-0.22181314744492933,0.22181314744492933,0.8319232756393697,0.4850168055492044,681,12.0
Non-Hispanic Asian,Has_Diabetes,DR1TTFAT,Fat,-0.31765777554573366,0.31765777554573366,0.8319232756393697,0.4850168055492044,681,8.0
Non-Hispanic Asian,Has_Diabetes,DR1TSFAT,Sat_Fat,-0.27260825212579864,0.27260825212579864,0.8319232756393697,0.4850168055492044,681,9.0
Non-Hispanic Asian,Has_Diabetes,DR1TSUGR,Sugar,0.026430118973799367,0.026430118973799367,0.8319232756393697,0.4850168055492044,681,20.0
Non-Hispanic Asian,Has_Diabetes,DR1TFIBE,Fiber,-0.6226661289875706,0.6226661289875706,0.8319232756393697,0.4850168055492044,681,4.0
Non-Hispanic Asian,Has_Diabetes,DR1TPROT,Protein,0.03206556058797311,0.03206556058797311,0.8319232756393697,0.4850168055492044,681,19.0
Non-Hispanic Asian,Has_Diabetes,SMQ020,Ever_Smoked,-0.23794244311599716,0.23794244311599716,0.8319232756393697,0.4850168055492044,681,11.0
Non-Hispanic Asian,Has_Diabetes,SMQ040,Smoke_Freq,0.24589889549699795,0.24589889549699795,0.8319232756393697,0.4850168055492044,681,10.0
Non-Hispanic Asian,Has_Diabetes,ALQ121,Alc_Freq,0.11669735458972368,0.11669735458972368,0.8319232756393697,0.4850168055492044,681,17.0
Non-Hispanic Asian,Has_Diabetes,ALQ130,Alc_Amt,0.12131793294581242,0.12131793294581242,0.8319232756393697,0.4850168055492044,681,16.0
Non-Hispanic Asian,Has_Diabetes,LBXGH,HbA1c,1.1171562086518818,1.1171562086518818,0.8319232756393697,0.4850168055492044,681,1.0
Non-Hispanic Asian,Has_Diabetes,LBXTC,Cholesterol,-0.4540869246478802,0.4540869246478802,0.8319232756393697,0.4850168055492044,681,7.0
Non-Hispanic Asian,Has_Diabetes,LBDHDD,HDL,0.03904478691385084,0.03904478691385084,0.8319232756393697,0.4850168055492044,681,18.0
Non-Hispanic Asian,Has_Diabetes,BPXOSY1,Sys_BP,0.8352098802794872,0.8352098802794872,0.8319232756393697,0.4850168055492044,681,2.0
Non-Hispanic Asian,Has_Diabetes,BPXODI1,Dia_BP,-0.6313607621200523,0.6313607621200523,0.8319232756393697,0.4850168055492044,681,3.0
Non-Hispanic Black,Has_Diabetes,RIAGENDR,Gender,0.18848298476021302,0.18848298476021302,0.8737553342816501,0.610060609451104,1597,10.0
Non-Hispanic Black,Has_Diabetes,INDFMPIR,Income_Ratio,0.08155668961522172,0.08155668961522172,0.8737553342816501,0.610060609451104,1597,16.0
Non-Hispanic Black,Has_Diabetes,BMXBMI,BMI,0.3272300943381284,0.3272300943381284,0.8737553342816501,0.610060609451104,1597,7.0
Non-Hispanic Black,Has_Diabetes,PAD680,Mod_Activity,0.21884412338890752,0.21884412338890752,0.8737553342816501,0.610060609451104,1597,8.0
Non-Hispanic Black,Has_Diabetes,PAD800,Vig_Activity,-0.4355719454777817,0.4355719454777817,0.8737553342816501,0.610060609451104,1597,5.0
Non-Hispanic Black,Has_Diabetes,DR1TKCAL,Calories,0.16330575281258533,0.16330575281258533,0.8737553342816501,0.610060609451104,1597,13.0
Non-Hispanic Black,Has_Diabetes,DR1TSODI,Sodium,-0.04755186305542081,0.04755186305542081,0.8737553342816501,0.610060609451104,1597,19.0
